Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 5791                                                      Cc1nc([N+](=O)[O-])cc2c1[nH]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc12 1
Drug 4776                                                                                               CC(=O)CC(=O)Nc1ccc(C)cc1 0
Drug 6969                                                                                   O=C1C(=O)C(c2ccccc2)Oc2cc(O)cc(O)c21 0
Drug 1395                                                               C[N+]([O-])=NC[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O 0
Drug 4285                                                                                            C=C(C)[C@@H]1CC=C(C)C(=O)C1 0
Drug 1145                                                                                                                  CN=NO 1
Drug 3220                                      CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1 0
Drug 1236                                                                                                    C=CCc1ccc(O)c(OC)c1 0
Drug 3209                                                                                                  COc1ccc2[nH]c(N)nc2c1 0
Drug 4133                                                                                           Cc1cc2c(c3ccc4ccccc4c13)CCC2 0
Drug 2528                                                                                           CC(N)(Cc1ccc(O)c(O)c1)C(=O)O 0
Drug 5733                                                                       CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-] 0
Drug 4415                                                                                                  C/C=C/c1ccc2c(c1)OCO2 0
 Drug 925                                                                                    OC1C=Cc2cc3c(ccc4ccccc43)c(Cl)c2C1O 0
Drug 3944                                                                                         CCCCCCN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 5987                                                                                   Cc1c2ccccc2cc2ccc3c(c12)C=CC(=O)C3=O 1
Drug 3573                                                                                      NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 5874                                                                            c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1 1
Drug 4255                                                                                                       NCCNCCNCCNCCNCCN 1
 Drug 545                                                                            O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1 1
