Drug 5999                                                                                                                                                     CCn1c(N)nc2c3cccnc3cc(C)c21 1
Drug 4232                                                                                                                                                         O=[N+]([O-])C(Br)(CO)CO 0
Drug 1200                                                                                                                                                            CN(Cc1ccc(Cl)cc1)N=O 1
Drug 3440                                                                                                                                                           C/C(C=O)=C(/Cl)C(=O)O 1
 Drug 853                                                                                                                                             CC(C)=CCC[C@@](C)(O)[C@H]1CCC=CC1=O 1
Drug 2373                                                                                                                                                 CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC 0
Drug 7341                                                                                                                             O=C1c2ccccc2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)ccc(O)c21 1
 Drug 384                                                                                                                                                CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1 1
 Drug 145                                                                                                                                   c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1 0
Drug 2612                                                                                                                                                                         CC(C)Br 1
 Drug 835                                                                                                                                         C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1 1
Drug 2025                                                                                                                                    CCO[P@](=O)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1 1
Drug 4077                                                                                                                                            Fc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
Drug 1627                                                                                                                                                      ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl 0
Drug 4333                                                                                                                                                               CC(C)(C)N(CCO)CCO 0
Drug 6748                                                                                                                                                              C=CC(=O)OCC(Br)CBr 1
Drug 1121                                                                                                                      C=C1C/C(=C/C)C(=O)O[C@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23 1
Drug 4871                                                 CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O 0
  Drug 22                                                                                                                                           Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12 1
Drug 1254                                                                                                                                                  NC(=O)N(CCC[C@@H](N)C(=O)O)N=O 1
Drug 4225                                                                                                                                        CC(C)(C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 4175                                                                                                                                               O=C(OCc1ccc(Cl)cc1)c1cccc2cccnc12 0
Drug 3841                                                                                                                              O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCc1ccccc1-3 1
Drug 3979                                                                                                                                             Cc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1 0
Drug 5118                                                                                                                                               Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N 0
Drug 5322                                                                                                                                  CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21 1
Drug 6815                                                                                                                                             OC1C=Cc2ccc3nc4ccc5ccccc5c4cc3c2C1O 1
Drug 2739                                                                                                                                                         CCc1cccc2c(CCO)c[nH]c12 0
 Drug 207                                                                                                                                           Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1 0
Drug 4188                                                                                                                                                          CN(C)P(=O)(N(C)C)N(C)C 0
Drug 6756                                                                                                                                                 COCC(O)Cn1cc([N+](=O)[O-])nc1Cl 1
Drug 1647                                                                                                    COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@H]1[C@H]6[C@@H]5C[C@@H]43 0
Drug 3975                                                                                                                                       O=[N+]([O-])c1ccc2cc3c(cc2c1)C(O)C(O)C=C3 1
Drug 2709                                                                                                                                              O=C(O)CCC(=O)Nc1cc(Cl)c(Cl)c(Cl)c1 0
Drug 6866                                                                                                                                                     COc1cc(NC(C)CCCN)c2ncccc2c1 1
