Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 2687                                                                                                 CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-] 1
Drug 1387                                                                                                                COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O 0
Drug 3840                                                                                                                                       CCN=[N+](C)[O-] 0
Drug 6325                                                                                                                              CC(=O)Nc1cccc2cc(F)cnc12 1
Drug 5232                                                                                                                          c1ccc2c(c1)ncc1cnc3ccccc3c12 0
 Drug 372                                                                                                                                 CSc1cc(SC)c(N)c(C)c1N 1
Drug 5703                                                                                                                                                  CC#N 0
Drug 2839                                                                                                                                C[C@@H](CC(=O)O)C(=O)O 0
Drug 4107                                                                                                                                       Nc1ccc(Cl)cc1Cl 1
Drug 6598                                                                                                              CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC 0
Drug 6172                                                                                                                            Cc1c(C)c(Br)c(Br)c(Br)c1Br 0
Drug 2894                                                                                                                             O=C(O)C=C(C(Cl)Cl)C(Cl)Cl 1
  Drug 70                                                                                                                   CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C 0
Drug 4888                                                                                                           O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O 0
Drug 2108                                                                                                                                               CC(C)CN 0
Drug 3657                                                                                                                                     CC(c1ccccc1)N(C)C 0
Drug 1453                                                                                                                                        CSc1ccc(Cl)cc1 0
Drug 5917                                                                                                                        Cc1nc2cc(C)c3c(nc(N)n3C)c2nc1C 1
Drug 1988                                                                                                     O=P(OC[C@H](Br)CBr)(OC[C@H](Br)CBr)OC[C@H](Br)CBr 1
Drug 1203                                                                                                                   CC(=O)N1CCC[C@H]1C(=O)N(CC(=O)O)N=O 1
Drug 5691                                                                                                              Cc1c2cc(CO)ccc2nc2c3c(ccc12)C(O)C(O)C=C3 1
Drug 6315                                                                                                                           O=C1CCOP(=O)(N(CCCl)CCCl)N1 1
Drug 5810                                                                                                                                  CCN(CC)c1ccc(N=O)cc1 1
Drug 1827                                                                                                                Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-] 1
Drug 5470                                                                                                                                                C#CCBr 1
Drug 1901                                                                                             COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc(N=[N+]=[N-])ccc12 1
Drug 5918                                                                                                           CC(=O)Nc1cc2c(cc1OC(=O)c1ccccc1)-c1ccccc1C2 0
Drug 3213                                                                                                               CC1=C2C(=CC(C)(C)C2O)C(=O)C(C)(O)C12CC2 1
Drug 2824                                                                                                                                           C=Cc1ccccn1 0
Drug 2631                                                                                                            COc1ccc2c(c1)-c1nccc3cc(OC)c(OC)c(c13)C2=O 1
 Drug 902                                                                                                                     Cc1cc2nc3c(ccc4ccccc43)c(C)c2cc1C 1
Drug 6844                                                                                                                           c1ccc(Cc2ccc(CC3CO3)cc2)cc1 1
Drug 3808                                                                                                                                          O=Cc1ccccc1O 0
 Drug 165                                                                                                                      C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21 1
 Drug 126                                                                                                                                               CCCCC=O 0
Drug 5558                                                                                                                       Cc1cc(N(CCO)CCO)ccc1N=Nc1cccnc1 0
Drug 1473                                                                                                                      O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21 0
Drug 3886                                                                                                                                                  CSSC 0
Drug 6162                                                                                                                                     C[C@@H]1CCCCN1N=O 1
Drug 6286                                                                                                                                  C1CN(SSN2CCOCC2)CCO1 0
Drug 6455                                                                                                                      O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl 1
 Drug 276                                                                                                                                 O=Nn1cc(CCO)c2ccccc21 1
Drug 2065                                                                                                                          COC(=O)c1ccc([N+](=O)[O-])o1 1
Drug 3284                                                                                                                      c1ccc2c(c1)cc1ccc3cccc4ncc2c1c34 1
Drug 5001                                                                                                                          CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1 1
Drug 6024                                                                                                                                     CCSCCSP(=S)(OC)OC 0
Drug 2956                                                                                                                CCCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21 1
