Drug 4811                                                                                                                                                       CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 2909                                                                                                                                                                 Fc1ccc2cccnc2c1 1
 Drug 726                                                                                                                                                                  c1cnc2cnncc2c1 0
 Drug 941                                                                                                                            O=[N+]([O-])c1cc2cccc([N+](=O)[O-])c2cc1[N+](=O)[O-] 1
 Drug 609                                                                                                                               CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1 0
Drug 6843                                                                                                                                          C=CCn1cc2c3c(cccc31)C1C=C(CO)CN(C)C1C2 1
Drug 7108                                                                                                                                                                   CC(=O)CC(C)=O 0
Drug 3299                                                                                                                                                                NNc1nncc2ccncc12 1
 Drug 237                                                                                                                                                            CNC(=O)CSP(=S)(OC)OC 1
 Drug 103                                                                                                                                                                        C1CSCCO1 0
Drug 1580                                                                                                                    O=S1(=O)OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br 1
Drug 3956                                                                                                                                                       [O-][n+]1cccc2c1C1OC1C=C2 0
Drug 5299                                                                                                                                                                 O=Cc1ccc(Cl)cc1 0
Drug 5119                                                                                                                                                   C=C(C)c1ccc(C)c2ccc(C=O)c-2c1 1
 Drug 912                                                                                                                                                                   CCC(CO)(CO)CO 0
Drug 5524                                                                                                                                  O=[N+]([O-])c1ccc2c(c1)-c1cc3ccccc3c3cccc-2c13 1
 Drug 288                                                                                                                                                   CCN(CC)c1ccc([N+](=O)[O-])cc1 1
Drug 3569                                                                                                                                                                        NNC(N)=O 0
Drug 1837                                                                                                                                                   O=[N+]([O-])c1ccc(-c2cscn2)o1 1
Drug 6555                                                                                                                                                  CC(CN1c2ccccc2Sc2ccccc21)N(C)C 0
Drug 6821                                                                                                                           C[N+](C)(C)CCNCCc1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1 1
Drug 4951                                                                                                                       CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1 0
Drug 2472                                                                                                                                 CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21 1
Drug 4880                                                                                                                                                                        O=C(O)CO 0
Drug 5330                                                                                                                                                 CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34 1
Drug 5692                                                                                                                                                               Oc1ccc2[nH]ccc2c1 0
Drug 4234                                                                                                                                                                     CCc1ccccc1O 0
 Drug 575                                                                                                                                                                   O=C1CCC(=O)O1 0
Drug 7127                                                                                                                                            O=C1c2ccccc2C(=[N+]([O-])O)c2ccccc21 0
Drug 7053                                                                                                                          CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1 0
Drug 4448                                                                                                                                                        ONc1ncnc2c1ncn2Cc1ccccc1 1
 Drug 962                                                                                                                                                        CC(Br)C(=O)N(C)Cc1ccccc1 0
Drug 1387                                                                                                                                          COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O 0
Drug 1540                                                                                                                                         COc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1 1
Drug 6945                                                                                                                       COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(=O)CC(O)(C(C)=O)C4 1
Drug 7392                                                                                                                                                      CC1CCc2c1ccc1c2ccc2ccccc21 1
Drug 3771                                                                                                                     Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1 0
Drug 5535                                                                                                                                                           Nc1ccc2nc3ccccc3nc2c1 1
Drug 4934                                                                                                                                                            O=C/C(Br)=C/c1ccccc1 1
Drug 6247                                                                                                                                               CC(=O)Nc1cc(N(C)C)ccc1N=Nc1cccnc1 0
Drug 5809                                                                                                                                                          CCOC(=O)c1cccc2cccnc12 0
 Drug 418                                                                                                                                                            CC(=O)c1ccc2ccccc2c1 0
Drug 1200                                                                                                                                                            CN(Cc1ccc(Cl)cc1)N=O 1
  Drug 71                                                                                                                                             Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C 0
Drug 4752                                                                                                                                          CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C 0
Drug 1944                                                                                                                                                  CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2 0
 Drug 857                                                                                                                                                        COc1c(Cl)ccc(Cl)c1C(=O)O 0
 Drug 587                                                                                                                                                          O=Nc1ccc(-c2ccccc2)cc1 1
Drug 6363                                                                                                                                                                   Cc1cccc(N)c1C 1
Drug 5592                                                                                                                                                                    CC(Br)C(N)=O 1
 Drug 773                                                                                                                                                   Oc1cccc(/C=N/c2snc3ccccc23)c1 1
 Drug 536                                                                                                                                                    CCCCCCCCCCCCCCCCCC1=NCCN1CCO 0
Drug 2976                                                                                                                                                                           CCCCN 0
  Drug 10                                                                                                                                                                 Nc1nc(N)nc(N)n1 0
Drug 4889                                                                                                                                                       CN(C)c1nc2c3cccnc3ccc2n1C 1
