Drug 1224                                                                                                                                              c1ccccc1 0
 Drug 977                                                                                                                        O=Nc1c(-c2ccc(Cl)cc2)nc2sccn12 1
Drug 6115                                                                                                                                                 S=C=S 0
Drug 1254                                                                                                                        NC(=O)N(CCC[C@@H](N)C(=O)O)N=O 1
Drug 3331                                                                                                                                          CSCNc1ccccc1 1
Drug 2422                                                                                                                                       Cc1cc(C)cc(C)c1 0
Drug 4202                                                                                                                 CC(=O)Nc1ccc(/C=N/n2nnc3ccnc-3c2O)cc1 1
Drug 1398                                                                                                                                  C/C=C/c1cccc(OC)c1OC 1
Drug 6736                                                                                                                                       OCC(Br)=C(Br)CO 1
Drug 4343                                                                                                                                           CCOC(C)(C)C 0
Drug 3853                                                                                                                          c1ccc2c(c1)ccc1c2ccc2cccnc21 1
Drug 4197                                                                                                                    Cn1c2ccccc2c2cc([N+](=O)[O-])ccc21 1
Drug 3829                                                                                                                                     CC/C=C/CC/C=C/C=O 0
 Drug 510                                                                                                                                 ONc1ccc(Sc2ccccc2)cc1 1
Drug 6338                                                                                                                      CC(C)CC(=O)OCc1cocc2c(C=O)ccc1-2 1
Drug 6361                                                                                                                              CCOC(=O)CNC(=O)C(C)(C)Br 0
Drug 2632                                                                                                                           Cc1cccc2c1ccc1c3ccccc3ccc21 1
Drug 1850                                                                                                                              Cc1ccc2cc3ccccc3c(C)c2c1 1
Drug 6412                                                                                                                         O=Nn1cc(CC(O)C(=O)O)c2ccccc21 1
Drug 5266                                                                                                                  CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2 0
Drug 4720                                                                                                                                         Cc1cccc(O)c1C 0
Drug 5017                                                                                                                  COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC 1
Drug 2750                                                                                                                              CC(=O)Nc1cccc(N)c1C(=O)O 1
Drug 3214                                                                                                                              NC(CCS/C(Cl)=C/Cl)C(=O)O 1
Drug 1004                                                                                                                                 Brc1ccc(-c2ccccc2)cc1 0
Drug 6093                                                                                                                        COc1ccc(C(=O)/C=C/c2ccccc2)cc1 0
Drug 1770                                                                                                         CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1 0
