Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 5296                                                                                                                 CN1CCc2cc3c(c4c2C1C(O)c1ccccc1-4)OCO3 1
Drug 5089                                                                                                             CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1 0
Drug 1880                                                                                                                                      CCc1ccnc2ccccc12 0
Drug 3213                                                                                                               CC1=C2C(=CC(C)(C)C2O)C(=O)C(C)(O)C12CC2 1
Drug 5467                                                                                                     O=[N+]([O-])c1cc2[nH]c3ccc4ccc(O)cc4c3c2c2ccccc12 1
Drug 1217                                                                                                                   COCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O 1
Drug 4754                                                                                                                  CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1 1
Drug 4303                                                                                                       O=[N+]([O-])c1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
Drug 6757                                                                                                                                   Clc1ccc(CCC2CO2)cc1 1
Drug 7598                                                                                                                           C=C(C)C1CC=C(C)C(OC(C)=O)C1 0
Drug 4905                                                                                                                                    Clc1nc2ccccc2nc1Cl 0
Drug 5264                                                                                                                                             O=C1CCCO1 0
Drug 1332                                                                                                                COC(=O)c1cc2c(c3c1ccc1c(OC)cccc13)OCO2 1
Drug 4477                                                                                                                           O=[N+]([O-])c1ccc2c(c1)NCC2 1
Drug 4871                       CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O 0
Drug 4808                                                                                                   O=C1c2ccccc2-c2ccc(Oc3ccc(S(=O)(=O)O)cc3)c3cccc1c23 1
Drug 2364                                                                                       O=C(/N=c1\sn(C(=O)c2ccccc2Cl)c2ccc([N+](=O)[O-])cc12)c1ccccc1Cl 1
Drug 1093                                                                                                                                           FC[C@H]1CO1 1
 Drug 153                                                                                                     CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12 1
Drug 3627                                                                                                                                             CCCCCCCCO 0
 Drug 383                                                                                                                   CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45 1
 Drug 581                                                                                                                Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1 0
Drug 2355                                                                                                                   COc1cc(N=Nc2ccccc2)ccc1[N+](=O)[O-] 1
Drug 6893                                                                                                                            c1cc2ccc3cccc4ccc(c1)c2c34 1
 Drug 122                                                                                                                                   COC(=O)C1=CCCN(C)C1 1
 Drug 258                                                      CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC 1
Drug 4529                                                                                                           C=C1C2CCC3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O 0
Drug 4745                                                                                                                  CC(=O)OCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
Drug 4055                                                                                                                O=C(Nc1ccc(F)cc1)c1csc([N+](=O)[O-])c1 1
 Drug 603                                                                                                                                  CCCCCCCCCc1ccc(O)cc1 0
Drug 5466                                                                                                O=C(O)C1OC(Oc2c3ccccc3c3ccc4cccc5ccc2c3c54)C(O)C(O)C1O 0
Drug 7307                                                                                                      O=C1c2ccccc2C(=O)c2c1ccc(C1OC(CO)C(O)C(O)C1O)c2O 1
Drug 5484                                                                                                                                       C=CCCCCCCCCCCCC 0
Drug 5981                                                                                                                                         O=NN1CCCNC1=O 1
Drug 5289                                                                CC(=O)OC1C(OC23C=C(C)C4(CC4)C(C)(O)C2C(=O)C(C)(C)C3)OC(CO)C(OC(=O)/C=C/c2ccc(O)cc2)C1O 1
Drug 1408                                                                                                                                       CCC/C=C(\C=O)CC 0
Drug 5859                                                                                                                                        C[C@@H](Br)CBr 1
Drug 3562                                                                                                                                 O=[N+]([O-])c1ccccc1O 0
Drug 2287                                                                                                      CN(C)c1ccc(N=Nc2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)cc1 0
Drug 6697                                                                                                                           NC(CCC(=O)NNc1ccccc1)C(=O)O 1
Drug 4165                                                                                                                     O=C1Nc2cc3ccccc3c3c4c(cc1c23)OCO4 1
Drug 3887                                                                                                                             COc1c2ccoc2nc2c(OC)cccc12 1
 Drug 916                                                                                                                                     CCOC(=O)c1ccccc1N 0
Drug 1257                                                                                                        C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C 1
Drug 6276                                                                                                                                       CCC1OC1c1ccccc1 0
Drug 4669                                                                                                                         CCCCCCCC(=O)CCc1ccc(O)c(OC)c1 0
Drug 1497                                                                                                                               O=C(O)c1cc(I)cc2cccnc12 0
Drug 4244                                                                                                                            Cc1c(N=O)cccc1[N+](=O)[O-] 0
Drug 4114                                                                                                                          CCCCN1C2c3ccccc3-c3ccccc3C21 1
Drug 2370                                                            Cc1cc(O)c2c(c1O)C(=O)C13C(=C2O)C(=O)C2C(O)C1C1C(O)C3C(=O)C3=C(O)c4c(O)cc(C)c(O)c4C(=O)C321 0
Drug 1924                                                                                                                              C#CCOCC[n+]1ccccc1/C=N/O 0
Drug 6850                                                                                                                        CC1(c2ccc([N+](=O)[O-])cc2)CO1 1
Drug 6709                                                                                                       Cc1nn(C)c(NC(=O)CNCCCN2CCCCC2C)c1C(=O)c1ccccc1F 1
Drug 7013                                                                                                                                          NC1CCC(N)CC1 0
Drug 5051                                                                                                                              O=C(O)CN(CC(=O)O)CC(=O)O 0
Drug 6157                                                                                                             COC1=CC(=O)c2[nH]c(C)c3c4ccccc4nc-3c2C1=O 1
 Drug 252                                                                                                                                CC1=CC(=O)c2ccccc2C1=O 1
Drug 2047                                                                                                                                O=[N+]([O-])c1ccccc1CO 0
Drug 3997                                                                                                                        COc1ccc2c3c([nH]c2c1)C(C)=NCC3 0
Drug 4500                                                                                                                  Cc1cnc2ccc3c(nc(NS(=O)(=O)O)n3C)c2n1 0
Drug 4261                                                                                                                                        NCc1cccc(CN)c1 0
Drug 6190                                                                                                                                               CCC(C)C 0
Drug 6324                                                                                                       Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C=C[C@@H](O)[C@H]4O 1
Drug 4243                                                                                                                               Cc1cc(Cl)ccc1/N=C/N(C)C 0
Drug 5565                                                                                                                            CC(=O)c1ccccc1[N+](=O)[O-] 0
Drug 3361                                                                                                              NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O 0
Drug 7239                                                                                                                                        CC1CCCN(N=O)C1 1
