                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                                                           piberaline                                                                                                                                                                                                                                                                                                                   O=C(c1ccccn1)N1CCN(Cc2ccccc2)CC1 1
                                                            pipradrol                                                                                                                                                                                                                                                                                                                     OC(c1ccccc1)(c1ccccc1)C1CCCCN1 1
                                                 Terbutylchlorambucil                                                                                                                                                                                                                                                                                                             CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1 1
                                                           Cytarabine                                                                                                                                                                                                                                                                                                  Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1 1
                                                           cyprolidol                                                                                                                                                                                                                                                                                                                OC(c1ccccc1)(c1ccccc1)C1CC1c1ccncc1 1
                                                       benzaprinoxide                                                                                                                                                                                                                                                                                                     C[N+](C)([O-])CC/C=C1/c2ccccc2C=Cc2c(Cl)cccc21 1
                                                           clorgiline                                                                                                                                                                                                                                                                                                                         C#CCN(C)CCCOc1ccc(Cl)cc1Cl 1
                                                           zoloperone                                                                                                                                                                                                                                                                                                   COc1ccccc1N1CCN(CCc2oc(=O)[nH]c2-c2ccc(F)cc2)CC1 1
                                                           fepitrizol                                                                                                                                                                                                                                                                                                                     Cn1nc(-c2cccnc2)nc1-c1ccccc1CO 1
                                                        thiphencillin                                                                                                                                                                                                                                                                                                        CC1(C)SC2C(NC(=O)CSc3ccccc3)C(=O)N2C1C(=O)O 0
                                                              Org4428                                                                                                                                                                                                                                                                                                         Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21 1
                                                          demecycline                                                                                                                                                                                                                                                          CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12 0
                                                           etaqualone                                                                                                                                                                                                                                                                                                                     CCc1ccccc1-n1c(C)nc2ccccc2c1=O 1
                                                            dicarbine                                                                                                                                                                                                                                                                                                                          Cc1ccc2c(c1)C1CN(C)CCC1N2 1
                                                         trimetrexate                                                                                                                                                                                                                                                                                                          COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC 1
                                                          fluvoxamine                                                                                                                                                                                                                                                                                              COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O 1
                                                            eterobarb                                                                                                                                                                                                                                                                                                           CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O 1
                                                         indeloxazine                                                                                                                                                                                                                                                                                                                         C1=Cc2cccc(OCC3CNCCO3)c2C1 1
                                                            sulazepam                                                                                                                                                                                                                                                                                                                CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21 1
                                                              dapsone                                                                                                                                                                                                                                                                                                                    Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0
                                                          Pentostatin                                                                                                                                                                                                                                                                                                     OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O 1
                               dimethylamphetamine(dimethamphetamine)                                                                                                                                                                                                                                                                                                                                 CC(Cc1ccccc1)N(C)C 1
                                                           tobramycin                                                                                                                                                                                                                                NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O 0
                                                            losindole                                                                                                                                                                                                                                                                                                   CN1C[C@@H]2[C@@H](Cc3ccc(Cl)cc3[C@H]2c2ccccc2)C1 1
                                                           Alprazolam                                                                                                                                                                                                                                                                                                              Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2 1
                                                          befloxatone                                                                                                                                                                                                                                                                                                 COC[C@H]1CN(c2ccc(OCC[C@@H](O)C(F)(F)F)cc2)C(=O)O1 1
                                                             bisorcic                                                                                                                                                                                                                                                                                                                     CC(=O)NCCC[C@H](NC(C)=O)C(=O)O 1
                                                            GR94839_D                                                                                                                                                                                                                                                                                            COc1cccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)c1 0
                                                        Betamethasone                                                                                                                                                                                                                                                             C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 0
                                           vitamine(alpha-tocopherol)                                                                                                                                                                                                                                                                                    Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2 1
