                                              cintriamide(cintramide)                                                                                                                                                                                                                                                                                                                      COc1cc(/C=C/C(N)=O)cc(OC)c1OC 1
                                                        penimocycline                                                                                                                                                                                                          CN(C)[C@@H]1C(=O)/C(=C(/O)NCNC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12 0
                                                             albutoin                                                                                                                                                                                                                                                                                                                          C=CCN1C(=O)C(CC(C)C)NC1=S 1
                                                              Benzene                                                                                                                                                                                                                                                                                                                                           c1ccccc1 1
                                                          pipacycline                                                                                                                                                                                                                                                                CN(C)C1C(=O)/C(=C(/O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12 0
                                                         nitrendipine                                                                                                                                                                                                                                                                                            CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1 0
                                                         fluocinonide                                                                                                                                                                                                                                         CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                                         Polythiazide                                                                                                                                                                                                                                                                                                 CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O 0
                                                         betamethadol                                                                                                                                                                                                                                                                                                              CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1 1
                                                           taltrimide                                                                                                                                                                                                                                                                                                               CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O 1
                                                           tenilsetam                                                                                                                                                                                                                                                                                                                                  O=C1NCCNC1c1cccs1 1
                                                            melperone                                                                                                                                                                                                                                                                                                                     CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                             Abacavir                                                                                                                                                                                                                                                                                                      Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1 1
                                                       acetophenazine                                                                                                                                                                                                                                                                                                     CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2 1
                                                              doxepin                                                                                                                                                                                                                                                                                                        CN(C)CC/C=C1/c2ccccc2COc2ccccc21.[Cl-].[H+] 1
                                                            meropenem                                                                                                                                                                                                                                                                      C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)C12.O.O.O 0
                                                          loreclezole                                                                                                                                                                                                                                                                                                                     Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl 1
                                                          clobetasone                                                                                                                                                                                                                                                                C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl 1
                                                          tolufazepam                                                                                                                                                                                                                                                                                         Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3cc(Cl)ccc32)cc1 1
                                                          propyperone                                                                                                                                                                                                                                                                                                     CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                         pramiracetam                                                                                                                                                                                                                                                                                                                    CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C 1
                                                          cicortonide                                                                                                                                                                                                                                                         CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)[C@@]3(F)C(O)CC12C 1
                                                           motrazepam                                                                                                                                                                                                                                                                                                    COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21 1
                                                           dexamisole                                                                                                                                                                                                                                                                                                                       c1ccc([C@@H]2CN3CCSC3=N2)cc1 1
                                                         Levallorphan                                                                                                                                                                                                                                                                                                        C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13 1
                                                             xylazine                                                                                                                                                                                                                                                                                                                             Cc1cccc(C)c1NC1=NCCCS1 1
                                                            guanabenz                                                                                                                                                                                                                                                                                                                         NC(N)=N/N=C/c1c(Cl)cccc1Cl 0
                                                        Flunitrazepam                                                                                                                                                                                                                                                                                                     CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21 1
                                                       3-methylhexane                                                                                                                                                                                                                                                                                                                                          CCCC(C)CC 1
                                                            avizafone                                                                                                                                                                                                                                                                                            CN(C(=O)CNC(=O)[C@@H](N)CCCCN)c1ccc(Cl)cc1C(=O)c1ccccc1 1
                                                           Cytarabine                                                                                                                                                                                                                                                                                                  Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1 1
                                               fluphenazine-enanthate                                                                                                                                                                                                                                                                                          CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                                             BRL52537                                                                                                                                                                                                                                                                                                         O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCC[C@H]1CN1CCCC1 1
                                                                 1-47                                                                                                                                                                                                                                                                                                                                   NCCc1cn2ccccc2n1 0
                                                              RP60180                                                                                                                                                                                                                                                                                                 CCCNC(=O)c1ccc2c(c1)N([C@@H](C)CN1CCCC1)c1ccccc1S2 1
                                                        aminophylline                                                                                                                                                                                                                                                                                         Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN 0
                                                            carzenide                                                                                                                                                                                                                                                                                                                         NS(=O)(=O)c1ccc(C(=O)O)cc1 1
                                                            ICI197067                                                                                                                                                                                                                                                                                                    CC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1 1
                                                           Mefloquine                                                                                                                                                                                                                                                                                                     OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1 1
