                                             cinromide                                                                                                                                                               CCNC(=O)/C=C/c1cccc(Br)c1 1
                                  Nor-2-chlorpromazine                                                                                                                                                            NCCCN1c2ccccc2Sc2ccc(Cl)cc21 1
                                           hydrocodone                                                                                                                                 COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314 1
                                           Domperidone                                                                                                                                 O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1 0
                                              Pindolol                                                                                                                                                           CC(C)NCC(O)COc1cccc2[nH]ccc12 1
                                              SB204457                                                                                                                                      COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2 1
                                           desciclovir                                                                                                                                                                   Nc1ncc2ncn(COCCO)c2n1 1
                                            tinidazole                                                                                                                                                     CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C 1
                                               alpidem                                                                                                                                         CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12 1
                                           alimemazine                                                                                                                                                         CC(CN(C)C)CN1c2ccccc2Sc2ccccc21 1
                                            nordazepam                                                                                                                                                        O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1 1
                                          glutethimide                                                                                                                                                              CCC1(c2ccccc2)CCC(=O)NC1=O 1
                                          metralindole                                                                                                                                                        COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1 1
                                          Thioperamide                                                                                                                                                      S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1 1
                                            flurazepam                                                                                                                                            CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21 1
                                           noxiptiline                                                                                                                                                         CN(C)CCON=C1c2ccccc2CCc2ccccc21 1
                                            diethazine                                                                                                                                                           CCN(CC)CCN1c2ccccc2Sc2ccccc21 1
                                            desflurane                                                                                                                                                                      FC(F)OC(F)C(F)(F)F 1
                                           Sevoflurane                                                                                                                                                                  FCOC(C(F)(F)F)C(F)(F)F 1
                                              SB205605                                                                                                                              O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1 0
                                             temazepam                                                                                                                                                  CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21 1
                                         bisbentiamine                                                                                            C/C(=C(/CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N 1
                                           prazocillin                                                                                                              Cc1cnn(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 0
                                          ethosuximide                                                                                                                                                                      CCC1(C)CC(=O)NC1=O 1
                                            olanzapine                                                                                                                                                    Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1 1
                                            supidimide                                                                                                                                                       O=C1NCCCC1N1C(=O)c2ccccc2S1(=O)=O 1
                                                  BCNU                                                                                                                                                                    O=NN(CCCl)C(=O)NCCCl 1
                                           drocinonide                                                                                                        CC1(C)O[C@@H]2C[C@H]3C4CCC5CC(=O)CCC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1 1
                                             donepezil                                                                                                                                COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.[Cl-].[H+] 1
                                  clorethate/cloretate                                                                                                                                                         O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl 1
                                           delorazepam                                                                                                                                                      O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1 1
                                             spiramide                                                                                                                                             O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2 1
                                       dichlormezanone                                                                                                                                                   CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)c(Cl)c1 1
                                           rifapentine                   CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)/C(=C/NN2CCN(C3CCCC3)CC2)C(=C4O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C 0
                                            lofentanil                                                                                                                                CCC(=O)N(c1ccccc1)[C@]1(C(=O)OC)CCN(CCc2ccccc2)C[C@@H]1C 1
                                            amcinonide                                                                                   CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                           oxetacillin                                                                                                                CC1(C)S[C@@H]2[C@H]([NH+]3C(=O)C(c4ccc(O)cc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O 0
                                            nifedipine                                                                                                                                    COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-] 0
                                           xantocillin                                                                                                                                   [C-]#[N+]C(=C\c1ccc(O)cc1)/C(=C/c1ccc(O)cc1)[N+]#[C-] 0
                                               estrone                                                                                                                                        C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O 0
                                            umespirone                                                                                                                         CCCCN1C(=O)C2C(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C(=O)C(C1=O)C2(C)C 1
                                            ceforanide                                                                                                                   NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12 0
                                           thalidomide                                                                                                                                                     O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1 1
                                         Buprenorphine                                                                                               CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5 1
                                             girisopam                                                                                                                                                COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2 1
                                                  5-68                                                                                                                                                                              NCCc1nccs1 1
                                        imipraminoxide                                                                                                                                                  C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21 1
                                           efrotomycin                             C/C=C/C=C/C1OC(O)(C(CC)C(=O)NC/C=C/C=C(\C)C(OC)C(C)C2OC(/C=C/C=C/C=C(\C)C(=O)c3c(O)n(C)ccc3=O)C(O)C2O)C(O)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1(C)C 0
                                           oxifentorex                                                                                                                                                     CC(Cc1ccccc1)[N+](C)([O-])Cc1ccccc1 1
                                            Didanosine                                                                                                                                                  O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1 0
                                          allobarbital                                                                                                                                                            C=CCC1(CC=C)C(=O)NC(=O)NC1=O 1
                                        clofibric acid                                                                                                                                                              CC(C)(Oc1ccc(Cl)cc1)C(=O)O 0
                                          halometasone                                                                                          C[C@@H]1CC2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                          metofenazate                                                                                                                         COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC 1
                                              oxazepam                                                                                                                                                       O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O 1
                                        cyclophenazine                                                                                                                                      FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2 1
                                            sameridine                                                                                                                                                   CCCCCCN1CCC(C(=O)N(C)CC)(c2ccccc2)CC1 1
                                            salbutamol                                                                                                                                                           CC(C)(C)NCC(O)c1ccc(O)c(CO)c1 0
                                              bepridil                                                                                                                                                 CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1 0
                                              Org12692                                                                                                                                                            FC(F)(F)c1ccc(N2CCNCC2)nc1Cl 1
                                           cloxypendyl                                                                                                                                                OCCN1CCN(CCCN2c3ccccc3Sc3cc(Cl)cnc32)CC1 1
                                     cefcanel-daloxate                                                                                                        Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1 0
                                          cyclopregnol                                                                                                                    CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C45CC4CC[C@]5(C)[C@H]3CC[C@]12C 1
                                        paramethadione                                                                                                                                                                   CCC1(C)OC(=O)N(C)C1=O 1
                                          Trimetrexate                                                                                                                                               COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC 0
                                             mexazolam                                                                                                                                               CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12 1
                                         grepafloxacin                                                                                                                                        Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1 0
                                            mirisetron                                                                                                                                CN1[C@H]2CC[C@@H]1CC(NC(=O)c1cn(C3CCCCC3)c3ccccc3c1=O)C2 1
                                            Ethambutol                                                                                                                                                            CC[C@@H](CO)NCCN[C@@H](CC)CO 0
                                           cefdaloxime                                                                                                                         COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1 0
                                     midazolam maleate                                                                                                                                Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.O=C(O)/C=C\C(=O)O 1
                                             Oxaprozin                                                                                                                                                   O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1 0
                                          clocapramine                                                                                                                                  NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1 1
