CHEMBL1831214                                                                                                                                                                                                                                                NC(=O)Nc1cc(-c2ccccc2)sc1C(N)=O 1.0
CHEMBL2171042                                                                                                                                                                                                                Cc1cccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1 1.0
CHEMBL2169919                                                                                                                                                                                           CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O 1.0
CHEMBL1779497                                                                                                                                                                                                                                  O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl 1.0
    CHEMBL509                                                                                                                                                                                                                                               Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl 1.0
CHEMBL1950849                                                                                                                                                                                                              CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2cccc(F)c2)C1)C1CCCCC1 1.0
 CHEMBL441093                                                                                                                                                                                                                            CC(=O)NC[C@H]1CN(c2ccc(N3Cc4cccnc4C3)c(F)c2)C(=O)O1 1.0
     CHEMBL85                                                                                                                                                                                                                              Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2 1.0
    CHEMBL192                                                                                                                                                                                                                 CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12 1.0
CHEMBL1945289                                                                                                                                                                                                                   COc1ccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)cc1 0.0
 CHEMBL257027                                                                                                                                                                                                                                 C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)[nH]c12 1.0
CHEMBL2349334                                                                                                                                                                                                                                   CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12 1.0
 CHEMBL429405                                                                                                                                                                                                                                               NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O 0.0
 CHEMBL330366                                                                                                                                                                                              COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC 1.0
CHEMBL1163492                                                                                                                                                                                                                         CCN(C(=O)NCc1ccc(F)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1 1.0
 CHEMBL474828                                                                                                                                                                                                                                                   COCCNc1nc(C#N)nc(NCC(C)C)c1N 1.0
 CHEMBL250389                                                                                                                                                                                         COC1CCN(C(=O)C2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1 1.0
 CHEMBL404057                                                                                                                                                                                                                                      C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nccnc12 1.0
 CHEMBL256711                                                                                                                                                                                                                                              Nc1ccccc1NC(=O)c1ccc(-c2nccs2)cc1 1.0
 CHEMBL204887                                                                                                                                                                                                                       CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc21 1.0
    CHEMBL833                                                                                                                                                                                                                                                       Clc1ccccc1CN1CCc2sccc2C1 1.0
 CHEMBL182731                                                                                                                                                                                                                     COC(=O)c1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1 1.0
 CHEMBL126519                                                                                                                                                                                                                                  CCCc1c(O)c(O)c(C(=O)O)c2cc(Cc3ccccc3)c(C)cc12 1.0
 CHEMBL404957                                                                                                                                                                                                                                   CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1 1.0
CHEMBL2031169                                                                                                                                                                                                               O=C(N[C@@H](Cc1ccc(OCCc2ccc3c(n2)NCCO3)cc1)C(=O)O)c1c(Cl)cccc1Cl 0.0
    CHEMBL976                                                                                                                                                                                                                                          O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1 1.0
  CHEMBL74399                                                                                                                                                                                                                        CCN(CC)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1 1.0
CHEMBL2207596                                                                                                                                                                                                                          COc1cc(O)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCC(=O)O 0.0
  CHEMBL93884                                                                                                                                                                                                                                                   Nc1ccc(-c2nc3ccc(O)cc3s2)cc1 1.0
 CHEMBL257006                                                                                                                                                                                                                                 C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(N)nc12 1.0
CHEMBL2062556                                                                                                                                                                                                                                                 N#Cc1cnn2c(N)cc(-c3ccccc3)nc12 1.0
  CHEMBL96076                                                                                                                                                                                                                                        COc1ccc(CN2CCc3c([nH]c4ccccc34)C2)cc1OC 1.0
   CHEMBL1241                                                                                                                                                                                                                                                    CN(C)CCN(Cc1ccccc1)c1ccccn1 1.0
CHEMBL1957841                                                                                                                                                                                                                                     O=c1cc(N2CCOCC2)nc2n(Cc3cccc4ccccc34)ccn12 1.0
 CHEMBL279261                                                                                                                                                                                                                                             OC1(c2ccc(-c3ccccc3)cc2)CN2CCC1CC2 1.0
CHEMBL2163590                                                                                                                                                                                                            CCOc1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3 1.0
CHEMBL2030439                                                                                                                                                                                                                             O=S(=O)(Cc1cc(N2CCOCC2)nc(-c2ccccn2)n1)c1ccc(F)cc1 1.0
  CHEMBL73151                                                                                                                                                                                                                     CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1 1.0
    CHEMBL894                                                                                                                                                                                                                                                 CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 1.0
 CHEMBL214304                                                                                                                                                                                                                          Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O 1.0
CHEMBL1682283                                                                                                                                                                                                                                     C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1 0.0
    CHEMBL130                                                                                                                                                                                                                           O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl 1.0
 CHEMBL387265                                                                                                                                                                                                                          COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1 1.0
