  CHEMBL47406                                                                                                                                                                                                                                                           COC(=O)COc1ccc(O)cc1 0.0
  CHEMBL74399                                                                                                                                                                                                                        CCN(CC)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1 1.0
CHEMBL2335895                                                                                                                                                                                                                                CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 1.0
 CHEMBL395955                                                                                                                                                                                                                           NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21 1.0
 CHEMBL511115                                                                                                                                                                                                                              COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1 0.0
 CHEMBL480057                                                                                                                                                                                                                                         COc1cc2ncc(C(N)=O)c(Nc3ccccc3C)c2cc1OC 1.0
CHEMBL1087268                                                                                                                                                                                                                        Cc1cnc(Nc2cc(N3CCN(C)CC3)nc(N[C@@H](C)c3ccc(F)cn3)n2)s1 1.0
CHEMBL1499868                                                                                                                                                                                                                               CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1 1.0
  CHEMBL74355                                                                                                                                                                                                                                  COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC 1.0
CHEMBL1783283                                                                                                                                                                                                                                   CCCNC(=O)c1nnc2c(-c3ccc(OC)cc3OC)c(F)ccc2c1N 1.0
CHEMBL1236962                                                                                                                                                                                                                   COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F 1.0
CHEMBL2171023                                                                                                                                                                                                                       O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL2070946                                                                                                                                                                                                                   N#Cc1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1 1.0
    CHEMBL861                                                                                                                                                                                                                                                   CCC1(c2ccccc2)NC(=O)N(C)C1=O 1.0
CHEMBL1809194                                                                                                                                                                                                                      COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Br)c(-c2cnc3ccccn23)n1 1.0
CHEMBL1778630                                                                                                                                                                                                                                   O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccccc1-c1ccccc1 1.0
    CHEMBL900                                                                                                                                                                                                                                                   Cc1ccccc1C(OCCN(C)C)c1ccccc1 1.0
CHEMBL2059859                                                                                                                                                                                                                         Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1 1.0
CHEMBL2179270                                                                                                                                                                                                     Cc1cn([C@H]2CCCN([C@@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 0.0
   CHEMBL1064                                                                                                                                                                                        CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21 1.0
CHEMBL2089275                                                                                                                                                                                                                                            N#Cc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1 0.0
CHEMBL2325731                                                                                                                                                                                                                  CN(C)C(=O)CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 1.0
CHEMBL1706173                                                                                                                                                                                                                 COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CCC(=O)N2C 1.0
 CHEMBL258282                                                                                                                                                                                                                      CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1 1.0
 CHEMBL172066                                                                                                                                                                                                                                                           Cc1sc(N)nc1-c1ccccc1 1.0
 CHEMBL370152                                                                                                                                                                                                                                O=C(O)c1c(Sc2ccccc2)c2cc(Cl)ccc2n1Cc1ccc(Cl)cc1 1.0
    CHEMBL438                                                                                                                                                                                                                                               Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1 0.0
 CHEMBL503732                                                                                                                                                                                                                                            CNC1=Nc2ncccc2C(c2cccs2)=NC1c1cccs1 1.0
  CHEMBL89363                                                                                                                                                                                                                                     Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O 1.0
CHEMBL2171045                                                                                                                                                                                                         O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
   CHEMBL1428                                                                                                                                                                                                                  COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1 1.0
 CHEMBL562690                                                                                                                                                                                                                               O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OC2CCNCC2)ncc1Cl 1.0
  CHEMBL31354                                                                                                                                                                                                                                 COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1 1.0
CHEMBL2062580                                                                                                                                                                                                                           CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2C 1.0
CHEMBL1783280                                                                                                                                                                                                                                          CCCNC(=O)c1nnc2c(-c3cnccc3OC)cccc2c1N 1.0
 CHEMBL235763                                                                                                                                                                                                                                               NC1=NC(c2ccc(Cl)c(Cl)c2)CC(=O)N1 1.0
  CHEMBL51085                                                                                                                                                                                                                                                    O=c1c2ccccc2[se]n1-c1ccccc1 1.0
CHEMBL1980161                                                                                                                                                                                                                                                          Nc1n[nH]c2c(Cl)cccc12 1.0
CHEMBL2070943                                                                                                                                                                                                              N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(C(F)(F)F)cs3)CC2)CC1 1.0
CHEMBL2179284                                                                                                                                                                                              Cc1cn([C@H]2CCCN([C@H](CC3CCCCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 1.0
CHEMBL1916261                                                                                                                                                                                                                           CCC(CC)NC(=O)c1nnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1 0.0
 CHEMBL256117                                                                                                                                                                                                                                   Nc1ccccc1NC(=O)c1ccc(-c2ncc(CN3CCCCC3)s2)cc1 1.0
CHEMBL1689130                                                                                                                                                                                                                         C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1 0.0
 CHEMBL399539                                                                                                                                                                                                                         COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12 1.0
CHEMBL1643195                                                                                                                                                                                                                          Cc1cc(CN2Cc3ccccc3C2C(=O)Nc2cc(Cl)ccc2Cl)ccc1OCC(=O)O 1.0
CHEMBL1735467                                                                                                                                                                                                                                                 CC(=O)Nc1cccc(OCc2cnc(Cl)s2)c1 1.0
 CHEMBL278172                                                                                                                                                                                                                                                            CCOC(=O)c1ccc(N)cc1 1.0
    CHEMBL407                                                                                                                                                                                                                                        CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2 1.0
 CHEMBL480200                                                                                                                                                                                                                                 Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cccnc1 1.0
 CHEMBL273449                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(NC(=O)OCC(F)(F)F)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL487622                                                                                                                                                                                                                         CNC(=O)c1ccc(-c2cc(C(=O)N[C@H]3CCCNC3)c(NC(N)=O)s2)cc1 0.0
 CHEMBL205245                                                                                                                                                                                                          Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C 1.0
 CHEMBL278222                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2ccncc2)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL256576                                                                                                                                                                                                               C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1 1.0
    CHEMBL454                                                                                                                                                                                                                                                 C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O 1.0
CHEMBL2086652                                                                                                                                                                                                                       CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1 1.0
 CHEMBL327027                                                                                                                                                                                                                                               c1ccc(-c2c[nH]c(-c3ccccc3)n2)cc1 1.0
CHEMBL2030006                                                                                                                                                                                                                                              O=c1cc(-c2ccc(O)cc2)[nH]c2ccccc12 1.0
 CHEMBL134074                                                                                                                                                                                                                          Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2 1.0
CHEMBL1644358                                                                                                                                                                                                                                                      c1ccc(Nc2ccnc3ccccc23)cc1 1.0
  CHEMBL12132                                                                                                                                                                                                                                                                CC(=O)Nc1ccccn1 0.0
  CHEMBL99737                                                                                                                                                                                                                                   Nc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1 1.0
CHEMBL2024524                                                                                                                                                                                                                          CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3ccc(Cl)cc3)CC2)CC1 1.0
CHEMBL1934423                                                                                                                                                                                                                Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCOC2)cc1 0.0
 CHEMBL123846                                                                                                                                                                                                                       CCCc1c(OCCCOc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O 1.0
CHEMBL1224142                                                                                                                                                                                                                        Cc1c(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)cccc1C(N)=O 1.0
 CHEMBL370387                                                                                                                                                                                                                                              Nc1nc2nc(SCc3cccc(F)c3F)nc(O)c2s1 1.0
CHEMBL2171015                                                                                                                                                                                                                   O=C(NS(=O)(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)c1ccccc1 1.0
CHEMBL1955881                                                                                                                                                                                                                               N#Cc1c(-c2ccc(-c3ccccc3C(F)(F)F)cc2)nc2ccncc2c1O 1.0
 CHEMBL418822                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2cccnc2)ccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL305406                                                                                                                                                                                                                                         Clc1cccc(Cl)c1/C(=C/n1cncn1)OC1CCCCCC1 1.0
CHEMBL1507581                                                                                                                                                                                                                                            CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1 0.0
CHEMBL2321994                                                                                                                                                                                                                                                 OCC[C@@]1(c2cc3ccccc3o2)CCCNC1 0.0
 CHEMBL520003                                                                                                                                                                                                                                 CNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4cccnn34)n2)cc1 1.0
  CHEMBL51314                                                                                                                                                                                                                                  CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2 1.0
CHEMBL2031241                                                                                                                                                                                                                         Cc1ccc(C(=O)Nc2nccs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O 1.0
 CHEMBL488937                                                                                                                                                                                                                                            Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O 1.0
CHEMBL2348176                                                                                                                                                                                                                                                      Nc1nccc(-n2ccc3ccccc32)n1 1.0
CHEMBL2326476                                                                                                                                                                                                                                             Nc1nc2cc3c(cc2s1)CCN(Cc1ccccc1)CC3 1.0
CHEMBL1949685                                                                                                                                                                                                                 CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C1CCCCC1 1.0
 CHEMBL205742                                                                                                                                                                                                          CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21 1.0
CHEMBL1829270                                                                                                                                                                                                                            CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccccc1 1.0
 CHEMBL112747                                                                                                                                                                                                                                           COc1ccnc(NC2CCN(C(=O)c3ccccc3)CC2)c1 1.0
 CHEMBL126857                                                                                                                                                                                                                             CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1 1.0
 CHEMBL363160                                                                                                                                                                                                               CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1 1.0
CHEMBL2171050                                                                                                                                                                                                                  Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(F)c(F)c4)CC3)CC2)cc1 0.0
 CHEMBL324875                                                                                                                                                                                                                            Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3nc(O)sc23)cc1 1.0
CHEMBL2151323                                                                                                                                                                                                                        CC(C)Oc1cc(-n2cnc3cnc(N[C@@H](C)c4ncc(F)cn4)nc32)n[nH]1 1.0
  CHEMBL92401                                                                                                                                                                                                                                                           CC(C)NNC(=O)c1ccncc1 0.0
 CHEMBL507130                                                                                                                                                                                                    O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5n[nH]c(-c6ccccn6)n5)CC4)cc3)c(-c3ccccc3)cc12 1.0
CHEMBL2036762                                                                                                                                                                                                                             Cc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C4CC4)C3)CC2)cc1Cl 1.0
  CHEMBL93404                                                                                                                                                                                                                                         COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cl 1.0
CHEMBL1289110                                                                                                                                                                                                                                CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O 1.0
 CHEMBL387675 CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C 0.0
CHEMBL1809223                                                                                                                                                                                                             COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3cc(N4CCCC4)ccn23)n1 1.0
CHEMBL1631471                                                                                                                                                                                                                                        Nc1c(C(=O)NC2CC2)nnc2c(-c3ncccn3)cccc12 1.0
CHEMBL2165059                                                                                                                                                                                                           CO[C@@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2 0.0
  CHEMBL14642                                                                                                                                                                                                 CCCC(=O)C1(c2ccccc2)CCN(C(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@@H](N)Cc2cncn2C)CC1 1.0
CHEMBL2362258                                                                                                                                                                                                                                                      O=[N+]([O-])c1ccc(C=NO)o1 1.0
CHEMBL2177601                                                                                                                                                                                                                            Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1 0.0
CHEMBL1732699                                                                                                                                                                                                                                                FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12 1.0
CHEMBL2153435                                                                                                                                                                                                                       CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21 1.0
 CHEMBL442137                                                                                                                                                                                                                                                    CC12NC(Cc3ccccc31)c1ccccc12 1.0
CHEMBL1652588                                                                                                                                                                                                                C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O 1.0
CHEMBL2036594                                                                                                                                                                                                                                 COc1cccc(Nc2nnc(C(=O)Nc3ccc(N4CCOCC4)nc3)o2)c1 1.0
CHEMBL1209509                                                                                                                                                                                                                                        O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1cccnc1 1.0
